SIZE(n), COMPARISIONS,Log (n),n Log (n)
30,243,4.906890596,147.2067179
50,667,5.64385619,282.1928095
70,1190,6.129283017,429.0498112
90,2000,6.491853096,584.2667787
110,3268,6.781359714,745.9495685
130,4303,7.022367813,912.9078157
150,5578,7.22881869,1084.322804
170,7659,7.409390936,1259.596459
190,8357,7.569855608,1438.272566
210,10671,7.714245518,1619.991559
230,13403,7.845490051,1804.462712
250,16504,7.965784285,1991.446071
270,18591,8.076815597,2180.740211
290,20209,8.17990909,2372.173636
310,23453,8.276124405,2565.598566
330,26833,8.366322214,2760.886331
350,31474,8.451211112,2957.923889
370,32835,8.531381461,3156.61114
390,38035,8.607330314,3356.858822
410,40397,8.6794801,3558.586841
